month,metric,member_casual,rides,share_of_total_rides_pct
2025-03,commute_window_rides,casual,23899,1.19
2025-03,commute_window_rides,member,83826,2.34
2025-03,round_trip_rides,casual,5869,0.29
2025-03,round_trip_rides,member,3983,0.11
2025-03,weekend_rides,casual,30865,1.54
2025-03,weekend_rides,member,52193,1.46
2025-04,commute_window_rides,casual,30836,1.54
2025-04,commute_window_rides,member,105975,2.95
2025-04,round_trip_rides,casual,7290,0.36
2025-04,round_trip_rides,member,4658,0.13
2025-04,weekend_rides,casual,36720,1.83
2025-04,weekend_rides,member,55567,1.55
2025-05,commute_window_rides,casual,46916,2.34
2025-05,commute_window_rides,member,121518,3.39
2025-05,round_trip_rides,casual,11842,0.59
2025-05,round_trip_rides,member,5825,0.16
2025-05,weekend_rides,casual,67334,3.35
2025-05,weekend_rides,member,75680,2.11
2025-06,commute_window_rides,casual,69014,3.44
2025-06,commute_window_rides,member,140773,3.92
2025-06,round_trip_rides,casual,18744,0.93
2025-06,round_trip_rides,member,7511,0.21
2025-06,weekend_rides,casual,117388,5.84
2025-06,weekend_rides,member,102214,2.85
2025-07,commute_window_rides,casual,83843,4.17
2025-07,commute_window_rides,member,170801,4.76
2025-07,round_trip_rides,casual,21336,1.06
2025-07,round_trip_rides,member,9474,0.26
2025-07,weekend_rides,casual,107170,5.34
2025-07,weekend_rides,member,94949,2.65
2025-08,commute_window_rides,casual,72013,3.58
2025-08,commute_window_rides,member,159486,4.45
2025-08,round_trip_rides,casual,21582,1.07
2025-08,round_trip_rides,member,9749,0.27
2025-08,weekend_rides,casual,151309,7.53
2025-08,weekend_rides,member,129524,3.61
2025-09,commute_window_rides,casual,71286,3.55
2025-09,commute_window_rides,member,177539,4.95
2025-09,round_trip_rides,casual,14597,0.73
2025-09,round_trip_rides,member,8929,0.25
2025-09,weekend_rides,casual,90339,4.5
2025-09,weekend_rides,member,99543,2.78
2025-10,commute_window_rides,casual,57356,2.86
2025-10,commute_window_rides,member,167420,4.67
2025-10,round_trip_rides,casual,10391,0.52
2025-10,round_trip_rides,member,7679,0.21
2025-10,weekend_rides,casual,82644,4.11
2025-10,weekend_rides,member,92251,2.57
2025-11,commute_window_rides,casual,24038,1.2
2025-11,commute_window_rides,member,96930,2.7
2025-11,round_trip_rides,casual,4372,0.22
2025-11,round_trip_rides,member,4642,0.13
2025-11,weekend_rides,casual,39563,1.97
2025-11,weekend_rides,member,64104,1.79
2025-12,commute_window_rides,casual,8284,0.41
2025-12,commute_window_rides,member,45140,1.26
2025-12,round_trip_rides,casual,1285,0.06
2025-12,round_trip_rides,member,2367,0.07
2025-12,weekend_rides,casual,7164,0.36
2025-12,weekend_rides,member,19387,0.54
2026-01,commute_window_rides,casual,7978,0.4
2026-01,commute_window_rides,member,48141,1.34
2026-01,round_trip_rides,casual,941,0.05
2026-01,round_trip_rides,member,2129,0.06
2026-01,weekend_rides,casual,6327,0.31
2026-01,weekend_rides,member,20326,0.57
2026-02,commute_window_rides,casual,13286,0.66
2026-02,commute_window_rides,member,68592,1.91
2026-02,round_trip_rides,casual,2053,0.1
2026-02,round_trip_rides,member,3056,0.09
2026-02,weekend_rides,casual,11168,0.56
2026-02,weekend_rides,member,29150,0.81
