month,source_file,rows_read,valid_rows,rows_removed,duplicate_ride_id,missing_datetime,invalid_member_type,out_of_scope_dates,nonpositive_duration,duration_over_24h,missing_start_station,missing_end_station
202503,202503-divvy-tripdata.zip,298155,297877,278,0,0,0,36,0,242,55332,57733
202504,202504-divvy-tripdata.zip,371341,371041,300,0,0,0,0,0,300,71196,73340
202505,202505-divvy-tripdata.zip,502456,501893,563,0,0,0,0,0,563,103360,106886
202506,202506-divvy-tripdata.zip,678904,677921,983,0,0,0,0,0,983,150904,155807
202507,202507-divvy-tripdata.zip,763432,762454,978,0,0,0,0,0,978,173529,180548
202508,202508-divvy-tripdata.zip,790177,789475,702,0,0,0,0,0,702,177121,184070
202509,202509-divvy-tripdata.zip,714759,714141,618,0,0,0,0,0,618,156261,163877
202510,202510-divvy-tripdata.zip,646039,645440,599,0,0,0,0,0,599,144979,152882
202511,202511-divvy-tripdata.zip,356628,356262,366,0,0,0,0,29,337,76276,81568
202512,202512-divvy-tripdata.zip,140534,140409,125,0,0,0,0,0,125,26926,29922
202601,202601-divvy-tripdata.zip,137787,137596,191,0,0,0,0,0,191,24553,27411
202602,202602-divvy-tripdata.zip,201450,201333,117,0,0,0,0,0,117,32069,34744
