start_hour,member_casual,rides,ride_minutes,avg_ride_minutes
0,casual,38983,604864.1497833332,15.52
0,member,32604,364095.8040166667,11.17
1,casual,24882,395550.1205166668,15.9
1,member,20098,222614.63856666666,11.08
2,casual,16656,257264.77084999997,15.45
2,member,12163,135888.49011666668,11.17
3,casual,9210,137747.66476666665,14.96
3,member,7935,93060.00446666667,11.73
4,casual,7286,99371.18633333335,13.64
4,member,8889,96557.74518333333,10.86
5,casual,11575,160562.16811666673,13.87
5,member,34817,372325.3451,10.69
6,casual,26850,349398.44593333337,13.01
6,member,101944,1123367.5018500001,11.02
7,casual,49972,681376.1614,13.64
7,member,202010,2240116.8937666663,11.09
8,casual,70872,1047670.3760499996,14.78
8,member,259984,2857528.0337500013,10.99
9,casual,71149,1397656.982666667,19.64
9,member,167825,1816538.1000166666,10.82
10,casual,85704,1990809.5930166664,23.23
10,member,144053,1688075.4191499997,11.72
11,casual,109510,2554430.377766667,23.33
11,member,169065,2038343.249833333,12.06
12,casual,129244,2881514.30105,22.3
12,member,191553,2239817.3153666668,11.69
13,casual,132797,2978200.0235666665,22.43
13,member,186573,2228847.7718499997,11.95
14,casual,139820,3094032.3891000003,22.13
14,member,189709,2361705.10365,12.45
15,casual,155203,3199480.742099999,20.61
15,member,239885,2989141.579266667,12.46
16,casual,177033,3391311.658266667,19.16
16,member,338823,4314161.9391,12.73
17,casual,191575,3547117.24535,18.52
17,member,386691,5005121.808583332,12.94
18,casual,164656,2945129.970883333,17.89
18,member,298882,3743337.904966666,12.52
19,casual,122326,2165279.211583333,17.7
19,member,206561,2515362.69025,12.18
20,casual,88215,1499317.78995,17.0
20,member,143252,1725786.4268333334,12.05
21,casual,75526,1244636.4528166668,16.48
21,member,111718,1337014.6718666668,11.97
22,casual,63569,1034596.9862166669,16.28
22,member,81392,972441.8143666667,11.95
23,casual,46128,772544.7669166668,16.75
23,member,50675,612599.9111833333,12.09
