month,member_casual,rides,ride_minutes,avg_ride_minutes
2025-03,casual,85662,1483060.2230333332,17.31
2025-03,member,212226,2321391.8238500003,10.94
2025-04,casual,108971,1965019.8396333333,18.03
2025-04,member,262096,2909045.8939,11.1
2025-05,casual,182263,3661739.1684499998,20.09
2025-05,member,319750,3738558.9025,11.69
2025-06,casual,291138,6110833.329183333,20.99
2025-06,member,386709,4877900.583216666,12.61
2025-07,casual,322505,6618149.471783333,20.52
2025-07,member,439965,5665397.753033333,12.88
2025-08,casual,337246,7029202.504466668,20.84
2025-08,member,452355,5798705.9411166655,12.82
2025-09,casual,264772,4984307.2952333335,18.82
2025-09,member,449202,5566228.277016667,12.39
2025-10,casual,223569,3882745.235183333,17.37
2025-10,member,421921,5022193.8205,11.9
2025-11,casual,98871,1466495.7709,14.83
2025-11,member,257292,2945610.7286666664,11.45
2025-12,casual,28005,349168.79475,12.47
2025-12,member,112415,1280391.7258499998,11.39
2026-01,casual,24656,311221.7862666667,12.62
2026-01,member,112933,1276797.6051500002,11.31
2026-02,casual,41083,567920.1161166667,13.82
2026-02,member,160237,1691627.1083,10.56
