day_of_week_num,day_of_week,member_casual,rides,ride_minutes,avg_ride_minutes
1,Sunday,casual,333078,7377100.540916667,22.15
1,Sunday,member,382597,5059752.005816667,13.22
2,Monday,casual,229915,4373157.86935,19.02
2,Monday,member,506257,5893755.350983334,11.64
3,Tuesday,casual,227698,3841703.8227166673,16.87
3,Tuesday,member,574365,6702474.446566668,11.67
4,Wednesday,casual,222772,3515547.8550333334,15.78
4,Wednesday,member,559321,6434948.121433334,11.5
5,Thursday,casual,258352,4339148.331799999,16.8
5,Thursday,member,578424,6691844.589166666,11.57
6,Friday,casual,322013,6076275.488950001,18.87
6,Friday,member,533846,6405179.223816666,12.0
7,Saturday,casual,414913,8906929.626233332,21.47
7,Saturday,member,452291,5905896.425316667,13.06
