day_of_week,start_hour,member_casual,rides
Sunday,0,casual,10515
Sunday,0,member,8171
Sunday,1,casual,7131
Sunday,1,member,5475
Sunday,2,casual,4992
Sunday,2,member,3551
Sunday,3,casual,2782
Sunday,3,member,2109
Sunday,4,casual,1757
Sunday,4,member,1500
Sunday,5,casual,1645
Sunday,5,member,1935
Sunday,6,casual,2888
Sunday,6,member,4291
Sunday,7,casual,4760
Sunday,7,member,7040
Sunday,8,casual,7721
Sunday,8,member,12196
Sunday,9,casual,13253
Sunday,9,member,18478
Sunday,10,casual,19255
Sunday,10,member,24704
Sunday,11,casual,24553
Sunday,11,member,28993
Sunday,12,casual,27852
Sunday,12,member,30615
Sunday,13,casual,28499
Sunday,13,member,30362
Sunday,14,casual,29428
Sunday,14,member,30487
Sunday,15,casual,29769
Sunday,15,member,30864
Sunday,16,casual,27391
Sunday,16,member,30320
Sunday,17,casual,23408
Sunday,17,member,28132
Sunday,18,casual,20258
Sunday,18,member,25954
Sunday,19,casual,14728
Sunday,19,member,19458
Sunday,20,casual,10744
Sunday,20,member,14237
Sunday,21,casual,8326
Sunday,21,member,11029
Sunday,22,casual,6969
Sunday,22,member,8043
Sunday,23,casual,4454
Sunday,23,member,4653
Monday,0,casual,3598
Monday,0,member,2651
Monday,1,casual,2073
Monday,1,member,1535
Monday,2,casual,1452
Monday,2,member,938
Monday,3,casual,910
Monday,3,member,759
Monday,4,casual,803
Monday,4,member,1250
Monday,5,casual,1592
Monday,5,member,5734
Monday,6,casual,3920
Monday,6,member,17184
Monday,7,casual,6873
Monday,7,member,33382
Monday,8,casual,9205
Monday,8,member,40876
Monday,9,casual,7885
Monday,9,member,22686
Monday,10,casual,8617
Monday,10,member,16225
Monday,11,casual,11275
Monday,11,member,19407
Monday,12,casual,13768
Monday,12,member,23050
Monday,13,casual,14458
Monday,13,member,22468
Monday,14,casual,15406
Monday,14,member,23767
Monday,15,casual,17294
Monday,15,member,32451
Monday,16,casual,21470
Monday,16,member,51385
Monday,17,casual,25045
Monday,17,member,63778
Monday,18,casual,20520
Monday,18,member,46109
Monday,19,casual,14956
Monday,19,member,31081
Monday,20,casual,10519
Monday,20,member,20954
Monday,21,casual,8072
Monday,21,member,14980
Monday,22,casual,6260
Monday,22,member,9081
Monday,23,casual,3944
Monday,23,member,4526
Tuesday,0,casual,2791
Tuesday,0,member,2426
Tuesday,1,casual,1481
Tuesday,1,member,1314
Tuesday,2,casual,1068
Tuesday,2,member,745
Tuesday,3,casual,540
Tuesday,3,member,646
Tuesday,4,casual,694
Tuesday,4,member,1252
Tuesday,5,casual,1636
Tuesday,5,member,6754
Tuesday,6,casual,4420
Tuesday,6,member,20523
Tuesday,7,casual,8552
Tuesday,7,member,42617
Tuesday,8,casual,11657
Tuesday,8,member,53561
Tuesday,9,casual,8291
Tuesday,9,member,26017
Tuesday,10,casual,7404
Tuesday,10,member,17402
Tuesday,11,casual,9288
Tuesday,11,member,20141
Tuesday,12,casual,11131
Tuesday,12,member,23964
Tuesday,13,casual,11613
Tuesday,13,member,22911
Tuesday,14,casual,12263
Tuesday,14,member,22911
Tuesday,15,casual,15091
Tuesday,15,member,34376
Tuesday,16,casual,20956
Tuesday,16,member,59132
Tuesday,17,casual,26302
Tuesday,17,member,72209
Tuesday,18,casual,22835
Tuesday,18,member,52399
Tuesday,19,casual,16707
Tuesday,19,member,34577
Tuesday,20,casual,11898
Tuesday,20,member,23813
Tuesday,21,casual,10509
Tuesday,21,member,18229
Tuesday,22,casual,6800
Tuesday,22,member,11024
Tuesday,23,casual,3771
Tuesday,23,member,5422
Wednesday,0,casual,2778
Wednesday,0,member,2731
Wednesday,1,casual,1486
