member_casual,start_station_name,rides
casual,DuSable Lake Shore Dr & Monroe St,31411
casual,Navy Pier,28050
casual,Streeter Dr & Grand Ave,23248
casual,Michigan Ave & Oak St,22450
casual,DuSable Lake Shore Dr & North Blvd,19515
casual,Millennium Park,19081
casual,Shedd Aquarium,16902
casual,Theater on the Lake,15808
casual,Dusable Harbor,15591
casual,Michigan Ave & 8th St,11190
member,Kingsbury St & Kinzie St,28132
member,Clinton St & Washington Blvd,24717
member,Canal St & Madison St,22286
member,Clinton St & Madison St,21585
member,Clark St & Elm St,20094
member,State St & Chicago Ave,19275
member,Wells St & Elm St,18930
member,Wells St & Concord Ln,18526
member,Clinton St & Jackson Blvd,18441
member,Wells St & Huron St,18000
