month,total_rides,casual_rides,member_rides,casual_share_pct,casual_avg_ride_minutes,member_avg_ride_minutes,casual_to_member_duration_ratio
2025-03,297888,85662,212226,28.76,17.31,10.94,1.58
2025-04,371067,108971,262096,29.37,18.03,11.1,1.62
2025-05,502013,182263,319750,36.31,20.09,11.69,1.72
2025-06,677847,291138,386709,42.95,20.99,12.61,1.66
2025-07,762470,322505,439965,42.3,20.52,12.88,1.59
2025-08,789601,337246,452355,42.71,20.84,12.82,1.63
2025-09,713974,264772,449202,37.08,18.82,12.39,1.52
2025-10,645490,223569,421921,34.64,17.37,11.9,1.46
2025-11,356163,98871,257292,27.76,14.83,11.45,1.3
2025-12,140420,28005,112415,19.94,12.47,11.39,1.09
2026-01,137589,24656,112933,17.92,12.62,11.31,1.12
2026-02,201320,41083,160237,20.41,13.82,10.56,1.31
