member_casual,rank,start_station_name,rides
casual,1,DuSable Lake Shore Dr & Monroe St,31411
casual,2,Navy Pier,28050
casual,3,Streeter Dr & Grand Ave,23248
casual,4,Michigan Ave & Oak St,22450
casual,5,DuSable Lake Shore Dr & North Blvd,19515
casual,6,Millennium Park,19081
casual,7,Shedd Aquarium,16902
casual,8,Theater on the Lake,15808
casual,9,Dusable Harbor,15591
casual,10,Michigan Ave & 8th St,11190
member,1,Kingsbury St & Kinzie St,28132
member,2,Clinton St & Washington Blvd,24717
member,3,Canal St & Madison St,22286
member,4,Clinton St & Madison St,21585
member,5,Clark St & Elm St,20094
member,6,State St & Chicago Ave,19275
member,7,Wells St & Elm St,18930
member,8,Wells St & Concord Ln,18526
member,9,Clinton St & Jackson Blvd,18441
member,10,Wells St & Huron St,18000
